Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
509,GHED_CHEGDP_SHA2011,COUNTRY,ROU,EUR,Europe,YEAR,2017,,,,,,,,,5.19,5.18879,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
6170,GHED_CHEGDP_SHA2011,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,9.66,9.65618,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
8829,GHED_CHEGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_UMI,,,YEAR,2000,,,,,,,,,5.82,5.81738,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
8831,GHED_CHEGDP_SHA2011,COUNTRY,TCD,AFR,Africa,YEAR,2019,,,,,,,,,3.38,3.38254,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
13602,GHED_CHEGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2002,,,,,,,,,4.68,4.68087,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
17760,GHED_CHEGDP_SHA2011,COUNTRY,HRV,EUR,Europe,YEAR,2006,,,,,,,,,6.9,6.90203,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
19056,GHED_CHEGDP_SHA2011,COUNTRY,GRC,EUR,Europe,YEAR,2013,,,,,,,,,8.44,8.43796,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
21850,GHED_CHEGDP_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2017,,,,,,,,,16.75,16.75301,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
22246,GHED_CHEGDP_SHA2011,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,7.01,7.00736,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
25858,GHED_CHEGDP_SHA2011,REGION,WPR,,,YEAR,2008,,,,,,,,,7.8,7.79673,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
32791,GHED_CHEGDP_SHA2011,COUNTRY,FJI,WPR,Western Pacific,YEAR,2012,,,,,,,,,3.27,3.26555,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
43717,GHED_CHEGDP_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2012,,,,,,,,,6.29,6.28985,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
45607,GHED_CHEGDP_SHA2011,COUNTRY,COG,AFR,Africa,YEAR,2017,,,,,,,,,2.36,2.36476,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
46244,GHED_CHEGDP_SHA2011,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2022,,,,,,,,,4.7,4.70438,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
48592,GHED_CHEGDP_SHA2011,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,8.79,8.78901,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
51142,GHED_CHEGDP_SHA2011,COUNTRY,EST,EUR,Europe,YEAR,2007,,,,,,,,,5.18,5.18456,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
52994,GHED_CHEGDP_SHA2011,COUNTRY,BOL,AMR,Americas,YEAR,2001,,,,,,,,,4.83,4.82522,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
53796,GHED_CHEGDP_SHA2011,COUNTRY,BFA,AFR,Africa,YEAR,2022,,,,,,,,,6.77,6.77182,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
57439,GHED_CHEGDP_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2002,,,,,,,,,11.44,11.44029,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
62517,GHED_CHEGDP_SHA2011,COUNTRY,ISL,EUR,Europe,YEAR,2021,,,,,,,,,9.79,9.78697,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
63077,GHED_CHEGDP_SHA2011,COUNTRY,ARG,AMR,Americas,YEAR,2009,,,,,,,,,9.46,9.456,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
65556,GHED_CHEGDP_SHA2011,COUNTRY,CAN,AMR,Americas,YEAR,2018,,,,,,,,,10.94,10.94313,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
74437,GHED_CHEGDP_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2004,,,,,,,,,4.23,4.23211,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
76584,GHED_CHEGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_LI,,,YEAR,2009,,,,,,,,,5.93,5.92769,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
77216,GHED_CHEGDP_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2021,,,,,,,,,12.15,12.15229,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
77280,GHED_CHEGDP_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2003,,,,,,,,,8.08,8.07831,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
86205,GHED_CHEGDP_SHA2011,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,4.25,4.25286,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
88367,GHED_CHEGDP_SHA2011,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,3.47,3.46609,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
91027,GHED_CHEGDP_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2016,,,,,,,,,11.49,11.49049,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
92864,GHED_CHEGDP_SHA2011,COUNTRY,NGA,AFR,Africa,YEAR,2008,,,,,,,,,3.7,3.69582,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
93280,GHED_CHEGDP_SHA2011,COUNTRY,AUS,WPR,Western Pacific,YEAR,2006,,,,,,,,,7.97,7.97161,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
93524,GHED_CHEGDP_SHA2011,REGION,EUR,,,YEAR,2018,,,,,,,,,7.57,7.56776,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
94153,GHED_CHEGDP_SHA2011,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,5.42,5.42314,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
94257,GHED_CHEGDP_SHA2011,COUNTRY,DEU,EUR,Europe,YEAR,2010,,,,,,,,,11.1,11.09593,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
102136,GHED_CHEGDP_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2007,,,,,,,,,3.82,3.82258,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
103186,GHED_CHEGDP_SHA2011,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2017,,,,,,,,,6.19,6.18557,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
103887,GHED_CHEGDP_SHA2011,COUNTRY,SEN,AFR,Africa,YEAR,2016,,,,,,,,,4.26,4.25607,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
107030,GHED_CHEGDP_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2004,,,,,,,,,3.32,3.31653,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
107137,GHED_CHEGDP_SHA2011,COUNTRY,PHL,WPR,Western Pacific,YEAR,2014,,,,,,,,,3.7,3.70314,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
109318,GHED_CHEGDP_SHA2011,COUNTRY,ZWE,AFR,Africa,YEAR,2015,,,,,,,,,7.45,7.44983,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
111181,GHED_CHEGDP_SHA2011,COUNTRY,FIN,EUR,Europe,YEAR,2005,,,,,,,,,8.29,8.28796,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
111429,GHED_CHEGDP_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2011,,,,,,,,,9.97,9.97124,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
112144,GHED_CHEGDP_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2017,,,,,,,,,8.22,8.22039,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
113238,GHED_CHEGDP_SHA2011,COUNTRY,CRI,AMR,Americas,YEAR,2009,,,,,,,,,7.86,7.86019,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
114962,GHED_CHEGDP_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2002,,,,,,,,,4.31,4.31453,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
116411,GHED_CHEGDP_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2022,,,,,,,,,3.87,3.87448,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
117299,GHED_CHEGDP_SHA2011,COUNTRY,HND,AMR,Americas,YEAR,2019,,,,,,,,,7.28,7.28237,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
117918,GHED_CHEGDP_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2016,,,,,,,,,9.89,9.88515,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
121942,GHED_CHEGDP_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2014,,,,,,,,,4.48,4.48158,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
123895,GHED_CHEGDP_SHA2011,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2011,,,,,,,,,5.37,5.37019,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
126294,GHED_CHEGDP_SHA2011,COUNTRY,AUT,EUR,Europe,YEAR,2019,,,,,,,,,10.49,10.48754,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
134205,GHED_CHEGDP_SHA2011,COUNTRY,ISR,EUR,Europe,YEAR,2017,,,,,,,,,7.18,7.17606,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
134575,GHED_CHEGDP_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2016,,,,,,,,,2.71,2.71315,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
140231,GHED_CHEGDP_SHA2011,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2013,,,,,,,,,8.16,8.15509,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
140376,GHED_CHEGDP_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2019,,,,,,,,,8.38,8.38326,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
144666,GHED_CHEGDP_SHA2011,COUNTRY,BRA,AMR,Americas,YEAR,2000,,,,,,,,,8.33,8.33457,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
147124,GHED_CHEGDP_SHA2011,COUNTRY,MYS,WPR,Western Pacific,YEAR,2012,,,,,,,,,3.46,3.45786,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
147627,GHED_CHEGDP_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2019,,,,,,,,,8.81,8.80846,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
147681,GHED_CHEGDP_SHA2011,COUNTRY,AZE,EUR,Europe,YEAR,2009,,,,,,,,,2.77,2.76541,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
150834,GHED_CHEGDP_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2001,,,,,,,,,5.86,5.86295,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
159167,GHED_CHEGDP_SHA2011,COUNTRY,ISL,EUR,Europe,YEAR,2009,,,,,,,,,8.78,8.77518,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
166761,GHED_CHEGDP_SHA2011,REGION,SEAR,,,YEAR,2008,,,,,,,,,4.32,4.32192,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
169585,GHED_CHEGDP_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,2.42,2.41648,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
171716,GHED_CHEGDP_SHA2011,COUNTRY,TTO,AMR,Americas,YEAR,2011,,,,,,,,,4.72,4.72198,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
173485,GHED_CHEGDP_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,3.19,3.1872,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
174254,GHED_CHEGDP_SHA2011,COUNTRY,BDI,AFR,Africa,YEAR,2010,,,,,,,,,11.28,11.28197,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
181731,GHED_CHEGDP_SHA2011,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,5.16,5.15991,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
182204,GHED_CHEGDP_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2018,,,,,,,,,9.74,9.73838,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
182483,GHED_CHEGDP_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2010,,,,,,,,,11.23,11.2256,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
183472,GHED_CHEGDP_SHA2011,COUNTRY,TGO,AFR,Africa,YEAR,2001,,,,,,,,,2.81,2.80675,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
192663,GHED_CHEGDP_SHA2011,COUNTRY,NGA,AFR,Africa,YEAR,2012,,,,,,,,,3.36,3.35984,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
193381,GHED_CHEGDP_SHA2011,COUNTRY,HUN,EUR,Europe,YEAR,2006,,,,,,,,,7.78,7.77806,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
193629,GHED_CHEGDP_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2020,,,,,,,,,8.95,8.95105,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
194754,GHED_CHEGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2008,,,,,,,,,7.28,7.2838,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
197271,GHED_CHEGDP_SHA2011,COUNTRY,ZMB,AFR,Africa,YEAR,2015,,,,,,,,,4.43,4.42974,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
198512,GHED_CHEGDP_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2003,,,,,,,,,5.54,5.53979,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
198980,GHED_CHEGDP_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2012,,,,,,,,,7.33,7.33277,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
201311,GHED_CHEGDP_SHA2011,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2009,,,,,,,,,3.77,3.77204,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
205018,GHED_CHEGDP_SHA2011,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2022,,,,,,,,,6.66,6.65589,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
205067,GHED_CHEGDP_SHA2011,COUNTRY,ECU,AMR,Americas,YEAR,2016,,,,,,,,,7.59,7.58817,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
205532,GHED_CHEGDP_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2002,,,,,,,,,8.79,8.78643,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
206698,GHED_CHEGDP_SHA2011,COUNTRY,GRD,AMR,Americas,YEAR,2013,,,,,,,,,5.63,5.62653,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
208562,GHED_CHEGDP_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2002,,,,,,,,,4.93,4.92548,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
210654,GHED_CHEGDP_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2012,,,,,,,,,7.49,7.48837,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
211391,GHED_CHEGDP_SHA2011,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2014,,,,,,,,,7.21,7.20893,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
211927,GHED_CHEGDP_SHA2011,COUNTRY,SMR,EUR,Europe,YEAR,2009,,,,,,,,,6.18,6.1841,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
217138,GHED_CHEGDP_SHA2011,COUNTRY,BLR,EUR,Europe,YEAR,2015,,,,,,,,,6.07,6.06528,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
225322,GHED_CHEGDP_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2005,,,,,,,,,3.52,3.51794,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
226781,GHED_CHEGDP_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2002,,,,,,,,,3.33,3.33472,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
230038,GHED_CHEGDP_SHA2011,COUNTRY,PRT,EUR,Europe,YEAR,2008,,,,,,,,,9.58,9.58308,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
232690,GHED_CHEGDP_SHA2011,COUNTRY,MRT,AFR,Africa,YEAR,2015,,,,,,,,,3.67,3.67364,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
236784,GHED_CHEGDP_SHA2011,GLOBAL,GLOBAL,,,YEAR,2017,,,,,,,,,6.47,6.46817,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
242678,GHED_CHEGDP_SHA2011,COUNTRY,GAB,AFR,Africa,YEAR,2010,,,,,,,,,2.48,2.47557,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
243311,GHED_CHEGDP_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2007,,,,,,,,,1.93,1.92674,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
243916,GHED_CHEGDP_SHA2011,COUNTRY,ZWE,AFR,Africa,YEAR,2021,,,,,,,,,2.79,2.78572,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
246440,GHED_CHEGDP_SHA2011,COUNTRY,GNB,AFR,Africa,YEAR,2021,,,,,,,,,8.16,8.16333,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
246495,GHED_CHEGDP_SHA2011,COUNTRY,AZE,EUR,Europe,YEAR,2010,,,,,,,,,2.65,2.64635,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
246520,GHED_CHEGDP_SHA2011,COUNTRY,DNK,EUR,Europe,YEAR,2015,,,,,,,,,10.34,10.34412,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
248596,GHED_CHEGDP_SHA2011,REGION,EMR,,,YEAR,2007,,,,,,,,,4.68,4.68345,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
249665,GHED_CHEGDP_SHA2011,COUNTRY,TUR,EUR,Europe,YEAR,2009,,,,,,,,,5.49,5.49439,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
249850,GHED_CHEGDP_SHA2011,COUNTRY,GRC,EUR,Europe,YEAR,2008,,,,,,,,,8.83,8.82774,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
250439,GHED_CHEGDP_SHA2011,COUNTRY,BRB,AMR,Americas,YEAR,2014,,,,,,,,,6.97,6.96651,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
250769,GHED_CHEGDP_SHA2011,COUNTRY,DMA,AMR,Americas,YEAR,2017,,,,,,,,,5.46,5.46245,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
255063,GHED_CHEGDP_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2011,,,,,,,,,2.6,2.60237,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
256260,GHED_CHEGDP_SHA2011,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,3.32,3.31909,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
257592,GHED_CHEGDP_SHA2011,COUNTRY,HND,AMR,Americas,YEAR,2007,,,,,,,,,8.08,8.08495,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
263821,GHED_CHEGDP_SHA2011,COUNTRY,PHL,WPR,Western Pacific,YEAR,2009,,,,,,,,,4.16,4.1645200000000004,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
266604,GHED_CHEGDP_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2016,,,,,,,,,4.78,4.7828,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
267550,GHED_CHEGDP_SHA2011,COUNTRY,SVN,EUR,Europe,YEAR,2021,,,,,,,,,9.48,9.48055,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
271361,GHED_CHEGDP_SHA2011,COUNTRY,ARM,EUR,Europe,YEAR,2001,,,,,,,,,4.65,4.64564,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
272320,GHED_CHEGDP_SHA2011,COUNTRY,LBR,AFR,Africa,YEAR,2008,,,,,,,,,6,5.99616,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
273830,GHED_CHEGDP_SHA2011,COUNTRY,KHM,WPR,Western Pacific,YEAR,2005,,,,,,,,,6.15,6.15048,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
274042,GHED_CHEGDP_SHA2011,REGION,AMR,,,YEAR,2007,,,,,,,,,6.2,6.19868,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
277266,GHED_CHEGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2003,,,,,,,,,4.9,4.89735,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
277782,GHED_CHEGDP_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2014,,,,,,,,,2.97,2.97468,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
279080,GHED_CHEGDP_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2004,,,,,,,,,5.22,5.21768,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
281220,GHED_CHEGDP_SHA2011,COUNTRY,BIH,EUR,Europe,YEAR,2004,,,,,,,,,9.06,9.0627,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
281904,GHED_CHEGDP_SHA2011,COUNTRY,MEX,AMR,Americas,YEAR,2013,,,,,,,,,5.58,5.57733,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
284324,GHED_CHEGDP_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2014,,,,,,,,,2.28,2.27915,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
286840,GHED_CHEGDP_SHA2011,COUNTRY,DZA,AFR,Africa,YEAR,2005,,,,,,,,,3.12,3.11886,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
292866,GHED_CHEGDP_SHA2011,COUNTRY,FRA,EUR,Europe,YEAR,2004,,,,,,,,,10.16,10.16429,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
294564,GHED_CHEGDP_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2005,,,,,,,,,9.2,9.20058,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
299807,GHED_CHEGDP_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2004,,,,,,,,,4.77,4.76761,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
302210,GHED_CHEGDP_SHA2011,COUNTRY,USA,AMR,Americas,YEAR,2011,,,,,,,,,16.14,16.14001,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
303999,GHED_CHEGDP_SHA2011,COUNTRY,URY,AMR,Americas,YEAR,2016,,,,,,,,,8.64,8.63851,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
308347,GHED_CHEGDP_SHA2011,COUNTRY,HND,AMR,Americas,YEAR,2010,,,,,,,,,8.73,8.72536,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
308435,GHED_CHEGDP_SHA2011,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,4.59,4.58949,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
310902,GHED_CHEGDP_SHA2011,COUNTRY,MLI,AFR,Africa,YEAR,2020,,,,,,,,,3.48,3.47598,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
313669,GHED_CHEGDP_SHA2011,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2000,,,,,,,,,2.13,2.12591,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
315753,GHED_CHEGDP_SHA2011,COUNTRY,ATG,AMR,Americas,YEAR,2006,,,,,,,,,4.63,4.63051,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
316898,GHED_CHEGDP_SHA2011,COUNTRY,MRT,AFR,Africa,YEAR,2002,,,,,,,,,4,4.00225,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
318569,GHED_CHEGDP_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2005,,,,,,,,,2.01,2.01331,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
320335,GHED_CHEGDP_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2010,,,,,,,,,7.55,7.55344,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
320741,GHED_CHEGDP_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2014,,,,,,,,,7.26,7.25597,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
321001,GHED_CHEGDP_SHA2011,COUNTRY,BRN,WPR,Western Pacific,YEAR,2001,,,,,,,,,2.55,2.54651,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
323082,GHED_CHEGDP_SHA2011,COUNTRY,GTM,AMR,Americas,YEAR,2002,,,,,,,,,6.01,6.01301,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
323984,GHED_CHEGDP_SHA2011,COUNTRY,KNA,AMR,Americas,YEAR,2010,,,,,,,,,5.21,5.21369,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
